ItemId;Matches with reference;Matches without reference;Partial matches with reference;Partial matches without reference;Mismatches with reference;Mismatches without reference;Matches;Partials;Mismatches;Partials/Partials+Mismatches;;;;
Q749;0;0;0;0;1;0;0;0;1;0;;;;
Q750;0;0;0;0;0;1;0;0;1;0;;;;
Q754;1;0;0;0;0;0;1;0;0;0;;;;
Q757;0;0;0;0;0;1;0;0;1;0;;;;
Q759;0;0;0;0;1;0;0;0;1;0;;;;
Q760;0;0;0;0;1;0;0;0;1;0;;;;
Q761;0;0;0;0;1;0;0;0;1;0;;;;
Q763;0;0;0;0;1;0;0;0;1;0;;;;
Q766;0;0;0;0;1;0;0;0;1;0;;;;
Q768;0;0;0;0;1;0;0;0;1;0;;;;
Q771;0;0;0;0;1;0;0;0;1;0;;;;
Q772;0;0;0;0;1;0;0;0;1;0;;;;
Q774;1;0;0;0;0;0;1;0;0;0;;;;
Q778;0;0;0;0;1;0;0;0;1;0;;;;
Q779;0;0;0;0;1;0;0;0;1;0;;;;
Q781;0;0;0;0;1;0;0;0;1;0;;;;
Q782;0;0;0;0;1;0;0;0;1;0;;;;
Q783;0;0;0;0;1;0;0;0;1;0;;;;
Q785;0;0;0;0;1;0;0;0;1;0;;;;
Q786;0;0;0;0;1;0;0;0;1;0;;;;
Q790;0;0;0;0;1;0;0;0;1;0;;;;
Q792;0;0;0;0;1;0;0;0;1;0;;;;
Q793;0;0;0;0;1;0;0;0;1;0;;;;
Q794;1;0;0;0;0;0;1;0;0;0;;;;
Q796;0;0;0;0;0;1;0;0;1;0;;;;
Q797;0;0;0;0;1;0;0;0;1;0;;;;
Q798;0;0;0;0;1;0;0;0;1;0;;;;
Q800;0;1;0;0;0;0;1;0;0;0;;;;
Q801;0;0;0;0;0;1;0;0;1;0;;;;
Q802;0;0;0;0;1;0;0;0;1;0;;;;
Q803;0;0;0;0;1;0;0;0;1;0;;;;
Q804;0;0;0;0;1;0;0;0;1;0;;;;
Q805;0;0;0;0;1;0;0;0;1;0;;;;
Q807;0;0;0;0;1;0;0;0;1;0;;;;
Q810;0;0;0;0;1;0;0;0;1;0;;;;
Q811;1;0;0;0;0;0;1;0;0;0;;;;
Q812;0;0;0;0;1;0;0;0;1;0;;;;
Q813;0;0;0;0;1;0;0;0;1;0;;;;
Q816;0;0;0;0;1;0;0;0;1;0;;;;
Q817;0;0;0;0;1;0;0;0;1;0;;;;
Q819;0;0;0;0;1;0;0;0;1;0;;;;
Q822;0;0;0;0;1;0;0;0;1;0;;;;
Q824;0;0;0;0;1;0;0;0;1;0;;;;
Q826;0;0;0;0;1;0;0;0;1;0;;;;
Q829;0;0;0;0;1;0;0;0;1;0;;;;
Q833;0;0;0;0;1;0;0;0;1;0;;;;
Q834;0;0;0;0;1;0;0;0;1;0;;;;
Q836;0;0;0;0;1;0;0;0;1;0;;;;
Q837;0;0;0;0;1;0;0;0;1;0;;;;
Q842;0;0;0;0;1;0;0;0;1;0;;;;
Q843;0;0;0;0;0;1;0;0;1;0;;;;
Q846;0;0;0;0;1;0;0;0;1;0;;;;
Q851;0;0;0;0;1;0;0;0;1;0;;;;
Q854;1;0;0;0;0;0;1;0;0;0;;;;
Q858;0;0;0;0;1;0;0;0;1;0;;;;
Q863;0;0;0;0;1;0;0;0;1;0;;;;
Q865;0;1;0;0;0;0;1;0;0;0;;;;
Q869;0;0;0;0;0;1;0;0;1;0;;;;
Q874;0;0;0;0;1;0;0;0;1;0;;;;
Q878;0;0;0;0;1;0;0;0;1;0;;;;
Q881;0;0;0;0;1;0;0;0;1;0;;;;
Q883;0;0;0;0;1;0;0;0;1;0;;;;
Q884;0;0;0;0;0;1;0;0;1;0;;;;
Q887;0;0;0;0;1;0;0;0;1;0;;;;
Q889;0;0;0;0;0;1;0;0;1;0;;;;
Q894;0;0;0;0;1;0;0;0;1;0;;;;
Q898;0;0;0;0;1;0;0;0;1;0;;;;
Q900;0;0;0;0;1;0;0;0;1;0;;;;
Q902;0;0;0;0;1;0;0;0;1;0;;;;
Q906;0;0;0;0;1;0;0;0;1;0;;;;
Q912;0;0;0;0;0;1;0;0;1;0;;;;
Q914;0;0;0;0;1;0;0;0;1;0;;;;
Q916;0;0;0;0;1;0;0;0;1;0;;;;
Q917;0;0;0;0;1;0;0;0;1;0;;;;
Q921;0;0;0;0;1;0;0;0;1;0;;;;
Q924;0;0;0;0;1;0;0;0;1;0;;;;
Q928;0;0;0;0;1;0;0;0;1;0;;;;
Q929;0;0;0;0;1;0;0;0;1;0;;;;
Q945;0;0;0;0;1;0;0;0;1;0;;;;
Q948;1;0;0;0;0;0;1;0;0;0;;;;
Q953;0;0;0;0;1;0;0;0;1;0;;;;
Q954;0;0;0;0;1;0;0;0;1;0;;;;
Q959;0;0;0;0;1;0;0;0;1;0;;;;
Q962;0;0;0;0;1;0;0;0;1;0;;;;
Q963;0;0;0;0;1;0;0;0;1;0;;;;
Q965;0;0;0;0;1;0;0;0;1;0;;;;
Q967;0;0;0;0;1;0;0;0;1;0;;;;
Q968;0;0;0;0;1;0;0;0;1;0;;;;
Q970;0;0;0;0;1;0;0;0;1;0;;;;
Q971;0;0;0;0;1;0;0;0;1;0;;;;
Q972;0;0;0;0;1;0;0;0;1;0;;;;
Q974;0;0;0;0;1;0;0;0;1;0;;;;
Q975;0;0;0;0;1;0;0;0;1;0;;;;
