ItemId;Matches with reference;Matches without reference;Partial matches with reference;Partial matches without reference;Mismatches with reference;Mismatches without reference;Matches;Partials;Mismatches;Partials/Partials+Mismatches
Q1009428;0;0;1;0;0;0;0;1;0;1,0
Q1009942;0;0;0;0;1;0;0;0;1;0
Q1010188;0;0;0;0;1;0;0;0;1;0
Q1012333;0;0;0;0;1;0;0;0;1;0
Q1012411;1;0;0;0;0;0;1;0;0;0
Q1015005;0;0;0;0;1;0;0;0;1;0
Q1016587;1;0;0;0;0;0;1;0;0;0
Q1016709;1;0;0;0;0;0;1;0;0;0
Q1016813;0;0;0;0;1;0;0;0;1;0
Q1017506;0;0;0;0;1;0;0;0;1;0
Q1017518;0;0;0;0;0;1;0;0;1;0
Q1017530;0;0;0;0;1;0;0;0;1;0
Q1017597;0;0;1;0;0;0;0;1;0;1,0
Q1019312;0;0;1;0;0;0;0;1;0;1,0
Q1019522;0;0;1;0;0;0;0;1;0;1,0
Q1019947;0;0;0;0;1;0;0;0;1;0
Q1024706;0;0;1;0;0;0;0;1;0;1,0
Q1025013;0;0;0;0;1;0;0;0;1;0
Q1025014;0;0;1;0;0;0;0;1;0;1,0
Q1025080;0;0;0;0;1;0;0;0;1;0
Q1025670;0;0;1;0;0;0;0;1;0;1,0
Q1025690;0;0;0;0;1;0;0;0;1;0
Q1026218;0;0;0;0;0;1;0;0;1;0
Q1026520;0;0;0;0;0;1;0;0;1;0
Q1026853;1;0;0;0;0;0;1;0;0;0
Q1041171;0;0;1;0;0;0;0;1;0;1,0
Q1048343;0;0;0;0;1;0;0;0;1;0
Q1058293;0;0;0;0;1;0;0;0;1;0
Q1078435;0;0;0;0;1;0;0;0;1;0
Q1088758;0;0;0;0;1;0;0;0;1;0
Q1089344;0;0;0;0;1;0;0;0;1;0
Q1104283;0;0;1;0;0;0;0;1;0;1,0
Q1164598;0;0;0;0;1;0;0;0;1;0
Q1170470;0;0;0;0;1;0;0;0;1;0
Q1194843;0;0;0;0;1;0;0;0;1;0
Q1194851;0;0;0;0;1;0;0;0;1;0
Q1230076;0;0;1;0;0;0;0;1;0;1,0
Q1240371;1;0;0;0;0;0;1;0;0;0
Q1270923;0;0;0;0;1;0;0;0;1;0
Q1308220;0;0;0;0;1;0;0;0;1;0
